  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.760630                     

          First Bias          Second Bias                Steps           Repetition
                   3                   -3                   50                   10

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  980
    Voltages     CurrentP     CurrentC
       1.102   7.2154e-06   7.0826e-06
      1.2245   7.2345e-06   7.0878e-06
      1.3469   7.2802e-06   7.0973e-06
      1.4694   7.2782e-06   7.0801e-06
      1.5918   7.3153e-06   7.0968e-06
      1.7143   7.3477e-06   7.1028e-06
      1.8367   7.3821e-06   7.0905e-06
      1.9592   7.4562e-06   7.1067e-06
      2.0816   7.4436e-06   7.1044e-06
      2.2041   7.3869e-06   7.0948e-06
      2.3265   7.3655e-06   7.1163e-06
       2.449   7.2861e-06   7.0957e-06
      2.5714   7.2638e-06   7.1077e-06
      2.6939   7.2245e-06   7.1228e-06
      2.8163   7.1779e-06   7.0918e-06
      2.9388   7.1873e-06   7.1334e-06
      2.9388  -4.0418e-06  -4.0526e-06
      2.8163  -6.1354e-06  -6.1345e-06
      2.6939  -6.7315e-06  -6.7401e-06
      2.5714  -6.8952e-06  -6.9033e-06
       2.449  -6.9436e-06  -6.9393e-06
      2.3265  -6.9677e-06   -6.976e-06
      2.2041   -6.948e-06  -6.9505e-06
      2.0816   -6.997e-06  -7.0023e-06
      1.9592  -6.9771e-06  -6.9827e-06
      1.8367  -6.9745e-06  -6.9755e-06
      1.7143  -6.9991e-06  -6.9964e-06
      1.5918  -6.9865e-06  -6.9823e-06
      1.4694  -6.9885e-06   -6.994e-06
      1.3469  -6.9944e-06  -6.9987e-06
      1.2245  -6.9923e-06  -6.9879e-06
       1.102  -7.0002e-06  -6.9989e-06
     0.97959  -7.0012e-06   -7.008e-06
     0.85714  -7.0069e-06  -6.9992e-06
     0.73469  -7.0066e-06  -7.0064e-06
     0.61224   -7.025e-06  -7.0226e-06
      0.4898  -7.0108e-06  -7.0052e-06
     0.36735  -7.0369e-06  -7.0341e-06
      0.2449  -7.0277e-06  -7.0231e-06
     0.12245  -7.0441e-06  -7.0371e-06
           0  -7.0638e-06  -7.0531e-06
    -0.12245  -7.0534e-06  -4.0441e-06
     -0.2449  -7.0887e-06  -6.1562e-06
    -0.36735   -7.133e-06  -6.7346e-06
     -0.4898  -7.1735e-06  -6.8943e-06
    -0.61224  -7.2465e-06  -6.9779e-06
    -0.73469  -7.2773e-06  -6.9603e-06
    -0.85714  -7.3149e-06  -6.9926e-06
    -0.97959  -7.3056e-06   -6.981e-06
      -1.102  -7.2607e-06  -6.9751e-06
     -1.2245  -7.2438e-06  -6.9985e-06
     -1.3469  -7.2142e-06  -7.0055e-06
     -1.4694  -7.2019e-06  -6.9889e-06
     -1.5918  -7.2188e-06   -7.004e-06
     -1.7143   -7.199e-06  -7.0126e-06
     -1.8367   -7.166e-06   -6.995e-06
     -1.9592  -7.1384e-06  -7.0236e-06
     -2.0816  -7.1238e-06  -7.0006e-06
     -2.2041  -7.1165e-06  -7.0091e-06
     -2.3265  -7.1417e-06   -7.029e-06
      -2.449  -7.1165e-06  -7.0057e-06
     -2.5714  -7.1416e-06   -7.035e-06
     -2.6939  -7.1053e-06   -7.019e-06
     -2.8163  -7.0781e-06  -7.0283e-06
     -2.9388   -7.074e-06  -7.0293e-06
     -2.9388   3.6452e-06    3.645e-06
     -2.8163   6.3018e-06   6.3154e-06
     -2.6939   6.9247e-06   6.9306e-06
     -2.5714   7.0242e-06   7.0336e-06
      -2.449   7.0314e-06   7.0392e-06
     -2.3265   7.0607e-06   7.0577e-06
     -2.2041   7.0426e-06   7.0529e-06
     -2.0816   7.0565e-06   7.0593e-06
     -1.9592   7.0564e-06   7.0647e-06
     -1.8367   7.0649e-06   7.0602e-06
     -1.7143   7.0662e-06   7.0694e-06
     -1.5918   7.0758e-06    7.077e-06
     -1.4694   7.0595e-06   7.0604e-06
     -1.3469   7.0824e-06   7.0824e-06
     -1.2245   7.0659e-06   7.0736e-06
      -1.102   7.0688e-06   7.0735e-06
    -0.97959   7.0745e-06   7.0713e-06
