  Measurement Number     Measurement type
                  18           CVSweepNew

      Measurement ID             SeriesID
       739688.763733                    0

         MeasureMode                Start                 Stop
                   1                   -3                    3

                Step           Sweep mode            Frequency
                 0.1                    3                 1000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 122

     Voltage   Resistance    Reactance      ACLevel    Frequency
-1.1963e+00 3.2114e+08 9.2567e+06 3.4995e-02 1.0000e+03
-1.2971e+00 2.9737e+08 9.3113e+06 3.4996e-02 1.0000e+03
-1.3967e+00 2.6323e+08 9.3572e+06 3.4995e-02 1.0000e+03
-1.4973e+00 2.6594e+08 9.5560e+06 3.4996e-02 1.0000e+03
-1.5973e+00 3.0969e+08 9.6460e+06 3.4996e-02 1.0000e+03
-1.6969e+00 2.9108e+08 9.7486e+06 3.4995e-02 1.0000e+03
-1.7977e+00 2.9158e+08 9.8762e+06 3.4995e-02 1.0000e+03
-1.8973e+00 2.6689e+08 9.9753e+06 3.4995e-02 1.0000e+03
-1.9980e+00 2.5992e+08 9.9936e+06 3.4996e-02 1.0000e+03
-2.0975e+00 2.0122e+08 1.0069e+07 3.4994e-02 1.0000e+03
-2.1974e+00 1.9069e+08 1.0139e+07 3.4995e-02 1.0000e+03
-2.2980e+00 1.5547e+08 1.0173e+07 3.4994e-02 1.0000e+03
-2.3978e+00 1.3591e+08 1.0241e+07 3.4996e-02 1.0000e+03
-2.4986e+00 1.1455e+08 1.0230e+07 3.4993e-02 1.0000e+03
-2.5982e+00 9.1202e+07 1.0232e+07 3.4995e-02 1.0000e+03
-2.6979e+00 7.4384e+07 1.0263e+07 3.4995e-02 1.0000e+03
-2.7987e+00 5.9032e+07 1.0254e+07 3.4994e-02 1.0000e+03
-2.8984e+00 5.1186e+07 1.0333e+07 3.4995e-02 1.0000e+03
-2.9989e+00 4.2389e+07 1.0314e+07 3.4994e-02 1.0000e+03




