  Measurement Number     Measurement type
                  17           CVSweepNew

      Measurement ID             SeriesID
       739688.763204                    0

         MeasureMode                Start                 Stop
                   1                    3                   -3

                Step           Sweep mode            Frequency
                 0.1                    3                 1000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 122

     Voltage   Resistance    Reactance      ACLevel    Frequency
2.0312e-01 6.6652e+08 9.7355e+06 3.4993e-02 1.0000e+03
3.0373e-01 5.4934e+08 9.6367e+06 3.4994e-02 1.0000e+03
4.0350e-01 5.2493e+08 9.6332e+06 3.4993e-02 1.0000e+03
5.0425e-01 4.4080e+08 9.6003e+06 3.4993e-02 1.0000e+03
6.0392e-01 5.3527e+08 9.5121e+06 3.4994e-02 1.0000e+03
7.0380e-01 4.6829e+08 9.4131e+06 3.4993e-02 1.0000e+03
8.0428e-01 4.2745e+08 9.3360e+06 3.4993e-02 1.0000e+03
9.0415e-01 3.7767e+08 9.3191e+06 3.4994e-02 1.0000e+03
1.0048e+00 4.2829e+08 9.2956e+06 3.4993e-02 1.0000e+03
1.1044e+00 3.7742e+08 9.1969e+06 3.4993e-02 1.0000e+03
1.2041e+00 3.6250e+08 9.1085e+06 3.4994e-02 1.0000e+03
1.3049e+00 3.6825e+08 9.1153e+06 3.4993e-02 1.0000e+03
1.4047e+00 2.8965e+08 9.0567e+06 3.4993e-02 1.0000e+03
1.5054e+00 2.3748e+08 9.0068e+06 3.4995e-02 1.0000e+03
1.6051e+00 2.6607e+08 9.0671e+06 3.4994e-02 1.0000e+03
1.7047e+00 2.4050e+08 9.0750e+06 3.4994e-02 1.0000e+03
1.8054e+00 2.3178e+08 9.1294e+06 3.4994e-02 1.0000e+03
1.9051e+00 2.5888e+08 9.1952e+06 3.4994e-02 1.0000e+03
2.0060e+00 2.4333e+08 9.2378e+06 3.4994e-02 1.0000e+03
2.1057e+00 2.4987e+08 9.2396e+06 3.4992e-02 1.0000e+03
2.2052e+00 1.8228e+08 9.2941e+06 3.4995e-02 1.0000e+03
2.3060e+00 1.5091e+08 9.3195e+06 3.4994e-02 1.0000e+03
2.4059e+00 1.2317e+08 9.2919e+06 3.4994e-02 1.0000e+03
2.5066e+00 1.0412e+08 9.3525e+06 3.4993e-02 1.0000e+03
2.6061e+00 7.4521e+07 9.2734e+06 3.4995e-02 1.0000e+03
2.7057e+00 5.7542e+07 9.2852e+06 3.4995e-02 1.0000e+03
2.8065e+00 4.4220e+07 9.3103e+06 3.4993e-02 1.0000e+03
2.9064e+00 3.1040e+07 9.3234e+06 3.4995e-02 1.0000e+03
3.0071e+00 2.2308e+07 9.2542e+06 3.4994e-02 1.0000e+03




