  Measurement Number     Measurement type
                  13           PUNDDouble

      Measurement ID                     
       739688.761802                     

        Voltage High          Voltage Low          Repetitions
                   3                   -3                 1000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                 1000
         P          U          N          D
8.7063e-11 -1.0014e-12 -8.513e-11 -1.4495e-12
8.3716e-11 7.3457e-12 -8.6734e-11 -9.9927e-12
8.2182e-11 9.9437e-12 -8.637e-11 -5.9382e-12
8.4661e-11 1.8627e-12 -7.6524e-11 -1.4411e-11
8.3604e-11 9.9087e-12 -9.1118e-11 -5.6091e-12
7.9045e-11 -2.752e-12 -8.3191e-11 -6.3794e-12
8.7861e-11 1.4145e-12 -8.235e-11 2.2968e-12
8.5172e-11 -4.2786e-12 -8.7854e-11 5.1819e-12
7.8177e-11 4.6917e-12 -8.9465e-11 2.9131e-12
9.0852e-11 9.7126e-12 -8.1216e-11 -7.4227e-13
8.5936e-11 5.7911e-12 -8.6356e-11 -5.8612e-12
8.6349e-11 -7.1426e-12 -1.0352e-10  8.032e-12
7.3569e-11 1.2374e-11 -1.002e-10 6.7435e-12
8.9507e-11 -3.0111e-12 -1.0701e-10 5.6231e-12
 7.901e-11 9.3835e-12 -8.032e-11 -9.7266e-12
1.0189e-10 9.1524e-12 -9.6965e-11 -6.2463e-12
 8.303e-11 1.6456e-11 -8.4633e-11 5.8472e-12
 9.562e-11 -4.6147e-12 -9.5235e-11 1.1106e-11
9.0165e-11 9.7966e-12 -8.2119e-11 9.8877e-12
 7.637e-11 1.0224e-11 -8.4136e-11 5.1959e-12
8.7861e-11  1.411e-11 -9.006e-11 3.8934e-12
9.2938e-11 -8.4036e-14 -8.0628e-11 -5.0068e-12
8.4983e-11 1.2605e-12 -6.8912e-11 -1.8207e-13
 9.277e-11 4.6217e-13 -8.4108e-11 1.0364e-12
9.0459e-11 7.8639e-12 -8.4059e-11 8.8933e-13
9.9297e-11 3.1021e-12 -8.3457e-11 -2.801e-12
8.4528e-11 1.0504e-13 -7.7792e-11 3.3262e-12
9.4493e-11 -6.3654e-12 -9.1986e-11 -4.3836e-12
9.7525e-11 2.3529e-12 -7.9914e-11 -5.6791e-12
8.7798e-11  2.016e-11 -8.3149e-11 -3.5503e-12
7.9311e-11 1.6876e-12 -9.3415e-11 7.4227e-13
1.0235e-10 -7.3807e-12 -9.0712e-11 1.0294e-12
8.2343e-11 3.3402e-12 -8.5453e-11 -3.8514e-12
9.5165e-11 -5.8332e-12 -9.5011e-11 6.7575e-12
9.5193e-11 -5.0489e-12 -8.268e-11 -1.6316e-12
8.7434e-11 6.0012e-12 -1.0411e-10 2.9411e-12
7.6377e-11  8.242e-12 -8.4738e-11 8.8373e-12
8.7714e-11 1.8067e-12 -9.4668e-11 1.0252e-11
9.2462e-11 -5.329e-12 -9.1013e-11  2.577e-12
 9.541e-11 1.3235e-12 -9.6314e-11 1.8417e-12
8.5698e-11 1.1918e-11 -8.6601e-11 2.2408e-13
9.5242e-11 -3.4453e-12 -8.2666e-11 -4.9158e-12
9.2476e-11 3.1792e-12 -7.6524e-11 -1.3879e-11
9.2637e-11 -2.1358e-12 -8.7791e-11 1.6666e-12
9.0137e-11 1.1932e-11 -9.2434e-11 -1.2528e-11
9.1006e-11 1.6841e-11  -8.88e-11 -1.0084e-12
7.6314e-11 7.3737e-12 -8.7567e-11 5.9942e-12
9.4248e-11 1.4916e-12 -7.6734e-11 -1.1316e-11
9.4843e-11 -4.6357e-12 -8.4066e-11 7.0866e-12
8.1006e-11 -3.4313e-12 -8.6356e-11 -1.4005e-11
8.8499e-11 6.6455e-12 -8.4521e-11 -3.7114e-12
7.9199e-11 1.8543e-11 -8.6027e-11 -6.4424e-12
9.2896e-11 1.3214e-11 -8.595e-11 -2.871e-13
8.7105e-11 7.3877e-12 -8.8261e-11 -7.7379e-12
8.4689e-11 1.1218e-11 -8.5957e-11 2.9901e-12
8.6167e-11 1.1911e-11 -8.4808e-11 -1.1694e-12
 8.936e-11 -4.7337e-12 -9.0361e-11 2.5139e-12
 9.868e-11 1.4859e-11 -8.8625e-11 -8.2561e-12
8.7812e-11 1.4706e-13 -7.5446e-11 1.8767e-12
8.8191e-11 -1.3375e-12 -9.1566e-11 -1.4215e-11
8.7483e-11 1.1435e-11 -9.1146e-11 3.5363e-12
9.3085e-11 -8.5081e-12 -8.2322e-11 -6.4214e-12
8.2385e-11 1.4544e-11 -9.2574e-11 1.4565e-12
8.2855e-11 -6.2113e-12 -8.7483e-11 -1.222e-11
9.3912e-11 4.9438e-12 -9.3884e-11 -1.2689e-11
9.6118e-11 -1.2535e-12 -8.6118e-11 -1.1449e-11
9.1216e-11 -6.5124e-13 -8.7707e-11 1.2675e-12
9.0067e-11 4.7828e-12 -8.0831e-11 -6.4634e-12
9.0705e-11 -5.539e-12 -8.1671e-11 1.5476e-12
1.0388e-10 -7.1566e-12 -9.1489e-11 -8.4033e-14
1.0896e-10 -1.2044e-12 -8.6265e-11 5.0909e-12
8.7084e-11 1.2745e-12 -8.1111e-11 -1.6344e-11
9.2819e-11 2.2968e-12 -8.6797e-11 8.5572e-12
 8.602e-11  1.049e-11 -9.0011e-11 -4.5657e-12
8.4472e-11 2.4929e-12 -8.0117e-11 -1.8907e-12
7.9248e-11 2.2618e-12 -9.4668e-11 4.8948e-12
9.8905e-11 9.5585e-12 -9.2161e-11  2.577e-12
 8.345e-11 6.7295e-12 -9.3604e-11 4.7127e-12
8.5214e-11 7.9129e-12 -8.9178e-11 -1.1232e-11
1.0301e-10 2.0588e-11 -8.784e-11 -1.6386e-12
9.2196e-11 1.2661e-11 -7.6972e-11 -7.5418e-12
9.8596e-11 1.0434e-12 -8.4199e-11 -8.3051e-12
