  Measurement Number     Measurement type
                  16               PQPUND

      Measurement ID                     
       739688.758924                     

          First Bias          Second Bias                Steps           Repetition
                 2.8                 -2.7                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
              0.0001                1e-05                1e-05                1e-05

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
      2.6316  -1.0293e-10
      2.7439  -1.0293e-10
      2.7439  -1.0293e-10
      2.6316  -1.0293e-10
      2.5194  -1.0293e-10
      2.4071  -1.0293e-10
      2.2949  -1.0293e-10
      2.1827  -1.0293e-10
      2.0704  -1.0293e-10
      1.9582  -1.0293e-10
      1.8459  -1.0293e-10
      1.7337  -1.0293e-10
      1.6214  -1.0293e-10
      1.5092  -1.0293e-10
      1.3969  -1.0293e-10
      1.2847  -1.0293e-10
      1.1724  -1.0401e-10
      1.0602   -1.044e-10
     0.94796  -1.0503e-10
     0.83571  -1.0637e-10
     0.72347  -1.0547e-10
     0.61122   -1.044e-10
     0.49898  -1.0449e-10
     0.38673  -1.0494e-10
     0.27449  -1.0479e-10
     0.16224  -1.0389e-10
        0.05  -1.0468e-10
   -0.062245  -1.0869e-10
    -0.17449  -1.1671e-10
    -0.28673  -1.2968e-10
    -0.39898  -1.4801e-10
    -0.51122  -1.7432e-10
    -0.62347  -2.0934e-10
    -0.73571  -2.5189e-10
    -0.84796  -3.0467e-10
     -0.9602  -3.7007e-10
     -1.0724  -4.4547e-10
     -1.1847  -4.4547e-10
     -1.2969  -4.4547e-10
     -1.4092  -4.4547e-10
     -1.5214  -4.4547e-10
     -1.6337  -4.4547e-10
     -1.7459  -4.4547e-10
     -1.8582  -4.4547e-10
     -1.9704  -4.4547e-10
     -2.0827  -4.4547e-10
     -2.1949  -4.4547e-10
     -2.3071  -4.4547e-10
     -2.4194  -4.4547e-10
     -2.5316  -4.4547e-10
     -2.6439  -4.4547e-10
     -2.6439  -4.4547e-10
     -2.5316  -4.4547e-10
     -2.4194  -4.4547e-10
     -2.3071  -4.4547e-10
     -2.1949  -4.4547e-10
     -2.0827  -4.4547e-10
     -1.9704  -4.4547e-10
     -1.8582  -4.4547e-10
     -1.7459  -4.4547e-10
     -1.6337  -4.4547e-10
     -1.5214  -4.4547e-10
     -1.4092  -4.4547e-10
     -1.2969  -4.5675e-10
     -1.1847  -4.6811e-10
     -1.0724  -4.7615e-10
     -0.9602  -4.8209e-10
    -0.84796  -4.8822e-10
    -0.73571  -4.9282e-10
    -0.62347  -4.9547e-10
    -0.51122  -4.9859e-10
    -0.39898  -4.9975e-10
    -0.28673  -4.9982e-10
    -0.17449   -4.989e-10
   -0.062245  -4.9868e-10




