  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.752405                     

          First Bias          Second Bias                Steps           Repetition
                 3.5                 -3.5                  100                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  198
    Voltages     CurrentP     CurrentC
    -0.74242  -6.4331e-05  -7.4799e-06
    -0.81313  -7.7242e-05   -8.289e-06
    -0.88384  -9.2868e-05   -8.625e-06
    -0.95455  -0.00010995  -8.8138e-06
     -1.0253  -0.00013006  -9.2571e-06
      -1.096  -0.00015076  -9.3825e-06
     -1.1667  -0.00017757  -1.0354e-05
     -1.2374  -0.00020669  -1.1081e-05
     -1.3081  -0.00023856  -1.1549e-05
     -1.3788  -0.00027439   -1.265e-05
     -1.4495  -0.00031428  -1.3628e-05
     -1.5202    -0.000358  -1.4501e-05
     -1.5909   -0.0004028  -1.5118e-05
     -1.6616  -0.00045221  -1.5756e-05
     -1.7323  -0.00050873  -1.7453e-05
      -1.803  -0.00058845  -1.7947e-05
     -1.8737  -0.00066526  -1.9721e-05
     -1.9444  -0.00076487  -2.0916e-05
     -2.0152   -0.0009544  -2.2129e-05
     -2.0859   -0.0011227  -2.3527e-05
     -2.1566   -0.0012222  -2.5424e-05
     -2.2273   -0.0012823  -2.7132e-05
      -2.298   -0.0012843  -2.9841e-05
     -2.3687   -0.0009313  -3.2309e-05
     -2.4394  -0.00075301  -3.4658e-05
     -2.5101  -0.00074649  -3.8179e-05
     -2.5808  -0.00072465  -4.1402e-05
     -2.6515  -0.00074815  -4.8181e-05
     -2.7222  -0.00076473  -5.2765e-05
     -2.7929  -0.00078559  -5.8291e-05
     -2.8636  -0.00074195  -6.3676e-05
     -2.9343  -0.00066788  -7.1693e-05
     -3.0051  -0.00043749  -8.0694e-05
     -3.0758  -0.00038408  -8.7999e-05
     -3.1465  -0.00044174  -0.00010475
     -3.2172  -0.00025132  -0.00011933
     -3.2879  -0.00027122  -0.00013772
     -3.3586  -0.00028806  -0.00015437
     -3.4293  -0.00021578   -0.0001736
        -3.5  -0.00019826  -0.00019125
     -3.4293   -0.0001643  -0.00016658
     -3.3586  -0.00014419  -0.00014518
     -3.2879    -0.000133  -0.00012522
     -3.2172   -0.0001148  -0.00011074
     -3.1465  -9.9085e-05  -9.7412e-05
     -3.0758  -8.5364e-05  -8.6003e-05
     -3.0051  -7.6619e-05   -7.325e-05
