  Measurement Number     Measurement type
                   5               PQPUND

      Measurement ID                     
       739688.751483                     

          First Bias          Second Bias                Steps           Repetition
                   3                   -3                   60                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-06                1e-06                1e-06                1e-06

                  IV        Points number                  118
    Voltages     CurrentP     CurrentC
     -1.9831   2.0758e-05   2.0403e-05
     -1.8814   2.3924e-05   2.3299e-05
     -1.7797    2.528e-05   2.5585e-05
      -1.678   2.8052e-05    2.818e-05
     -1.5763   2.8892e-05   2.8713e-05
     -1.4746   3.0525e-05   3.0282e-05
     -1.3729   3.1116e-05    3.089e-05
     -1.2712   3.1875e-05    3.181e-05
     -1.1695   3.1353e-05   3.3094e-05
     -1.0678   3.2509e-05   3.2794e-05
     -0.9661   3.2824e-05   3.3401e-05
    -0.86441   3.3458e-05   3.3452e-05
    -0.76271   3.3661e-05   3.3896e-05
    -0.66102   3.3092e-05   3.4027e-05
    -0.55932   3.4635e-05   3.5407e-05
    -0.45763   3.4761e-05   3.4623e-05
    -0.35593   3.5561e-05   3.5528e-05
    -0.25424   3.5565e-05   3.5735e-05
    -0.15254   3.6326e-05   3.6056e-05

                  QV        Points number                  118
     Voltage       Charge
           0   2.4496e-11
     0.10169   4.4427e-11
     0.20339   6.3149e-11
     0.30508   8.1689e-11
     0.40678   9.9986e-11
     0.50847   1.1815e-10
     0.61017   1.3484e-10
     0.71186   1.4981e-10
     0.81356    1.622e-10
     0.91525    1.717e-10
      1.0169   1.8033e-10
      1.1186   1.8866e-10
      1.2203    1.965e-10
       1.322   2.0486e-10
      1.4237   2.1308e-10
      1.5254   2.2193e-10
      1.6271   2.3141e-10
      1.7288   2.4129e-10
      1.8305   2.5122e-10
      1.9322   2.6164e-10
      2.0339   2.7402e-10
      2.1356   2.8965e-10
      2.2373    3.115e-10
       2.339   3.3777e-10
      2.4407   3.6575e-10
      2.5424    3.923e-10
      2.6441   4.1449e-10
      2.7458     4.31e-10
      2.8475   4.4748e-10
      2.9492   4.6696e-10
      2.9492   -7.051e-10
      2.8475  -1.8987e-09
      2.7458     -3.1e-09
      2.6441  -4.3046e-09
      2.5424  -5.5137e-09
      2.4407  -6.7252e-09
       2.339  -7.9395e-09
      2.2373  -9.1561e-09
      2.1356  -1.0374e-08
      2.0339  -1.1595e-08
      1.9322  -1.2809e-08
      1.8305  -1.3937e-08
      1.7288  -1.4946e-08
      1.6271  -1.5841e-08
      1.5254  -1.6634e-08
      1.4237  -1.7322e-08
       1.322  -1.7914e-08
      1.2203  -1.8419e-08
      1.1186   -1.884e-08
      1.0169  -1.9186e-08
     0.91525  -1.9459e-08
     0.81356  -1.9671e-08
     0.71186  -1.9828e-08
     0.61017   -1.994e-08
     0.50847  -2.0018e-08
     0.40678  -2.0069e-08
     0.30508  -2.0102e-08
     0.20339   -2.012e-08
     0.10169  -2.0128e-08
           0  -2.0132e-08
    -0.10169  -2.0193e-08
    -0.20339  -2.0249e-08
    -0.30508  -2.0318e-08
    -0.40678  -2.0401e-08
    -0.50847  -2.0505e-08
    -0.61017  -2.0632e-08
    -0.71186  -2.0788e-08
    -0.81356  -2.0985e-08
    -0.91525  -2.1269e-08
     -1.0169  -2.1645e-08
     -1.1186  -2.2133e-08
     -1.2203  -2.2745e-08
      -1.322  -2.3494e-08
     -1.4237  -2.4388e-08
     -1.5254  -2.5418e-08
     -1.6271  -2.6485e-08
     -1.7288  -2.7551e-08
     -1.8305  -2.8616e-08
     -1.9322  -2.9679e-08
     -2.0339  -3.0743e-08
     -2.1356  -3.1804e-08
     -2.2373  -3.2864e-08
      -2.339  -3.3922e-08
     -2.4407  -3.4043e-08
     -2.5424  -3.4195e-08
     -2.6441  -3.4318e-08
     -2.7458  -3.4458e-08
     -2.8475  -3.4648e-08
     -2.9492  -3.4738e-08
     -2.9492  -3.4742e-08
     -2.8475  -3.4742e-08
     -2.7458   -3.474e-08
     -2.6441  -3.4738e-08
     -2.5424  -3.4736e-08
     -2.4407  -3.4735e-08
      -2.339  -3.4735e-08
     -2.2373  -3.4734e-08
     -2.1356  -3.4734e-08
     -2.0339  -3.4733e-08
     -1.9322  -3.4733e-08
     -1.8305  -3.4732e-08
     -1.7288  -3.4729e-08
     -1.6271  -3.4728e-08
     -1.5254  -3.4727e-08
     -1.4237  -3.4726e-08
      -1.322  -3.4726e-08
     -1.2203  -3.4725e-08
     -1.1186  -3.4723e-08
     -1.0169  -3.4723e-08
    -0.91525  -3.4722e-08
    -0.81356  -3.4722e-08
    -0.71186  -3.4721e-08
    -0.61017  -3.4719e-08
    -0.50847  -3.4719e-08
    -0.40678  -3.4718e-08
    -0.30508  -3.4718e-08
    -0.20339  -3.4717e-08
    -0.10169  -3.4716e-08




