  Measurement Number     Measurement type
                  13               PQPUND

      Measurement ID                     
       739688.752664                     

          First Bias          Second Bias                Steps           Repetition
                   4                   -4                  100                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  198
    Voltages     CurrentP     CurrentC
      3.6364   5.7267e-07
      3.7172   5.8561e-07
       3.798   6.0046e-07
      3.8788    6.149e-07
      3.9596   6.2343e-07
      3.9596   6.3095e-07
      3.8788   6.3774e-07
       3.798   6.3273e-07
      3.7172   6.2764e-07
      3.6364   6.2246e-07
      3.5556   6.1716e-07
      3.4747   6.1188e-07
      3.3939   6.0654e-07
      3.3131   6.0114e-07
      3.2323   5.9575e-07
      3.1515   5.9045e-07
      3.0707   5.8509e-07
      2.9899   5.7972e-07
      2.9091   5.7434e-07
      2.8283   5.6898e-07
      2.7475   5.6365e-07
      2.6667   5.5839e-07
      2.5859   5.5321e-07
      2.5051   5.4815e-07
      2.4242   5.4319e-07
      2.3434   5.3834e-07
      2.2626   5.3362e-07
      2.1818   5.2906e-07
       2.101    5.247e-07
      2.0202   5.2053e-07
      1.9394   5.1657e-07
      1.8586   5.1287e-07
      1.7778    5.095e-07
       1.697   5.0638e-07
      1.6162   5.0352e-07
      1.5354   5.0096e-07
      1.4545   4.9869e-07
      1.3737   4.9664e-07
      1.2929   4.9485e-07
      1.2121   4.9329e-07
      1.1313   4.9198e-07
      1.0505   4.9084e-07
      0.9697   4.8985e-07
     0.88889     4.89e-07
     0.80808   4.8828e-07
     0.72727   4.8767e-07
     0.64646   4.8715e-07
     0.56566   4.8673e-07
     0.48485    4.864e-07
     0.40404   4.8612e-07
     0.32323   4.8591e-07
     0.24242   4.8577e-07
     0.16162   4.8568e-07
    0.080808   4.8563e-07
           0   4.8563e-07
   -0.080808   4.8644e-07
    -0.16162   4.8814e-07
    -0.24242    4.907e-07
    -0.32323   4.9412e-07
    -0.40404   4.9837e-07
    -0.48485   5.0343e-07
    -0.56566   5.0928e-07
    -0.64646   5.1591e-07
    -0.72727   5.2328e-07
    -0.80808   5.3139e-07
    -0.88889   5.4019e-07
     -0.9697   5.4964e-07
     -1.0505   5.5969e-07
     -1.1313   5.7023e-07
     -1.2121   5.8111e-07
     -1.2929   5.9236e-07
     -1.3737   6.0403e-07
     -1.4545   6.1612e-07
     -1.5354   6.2863e-07
     -1.6162   6.4157e-07
      -1.697   6.5494e-07
     -1.7778   6.6869e-07
     -1.8586   6.8278e-07
     -1.9394   6.9717e-07
     -2.0202   7.1124e-07
      -2.101    7.255e-07
     -2.1818   7.3988e-07
     -2.2626   7.5421e-07
     -2.3434   7.6858e-07
     -2.4242   7.8298e-07
     -2.5051   7.9737e-07
     -2.5859   8.1145e-07
     -2.6667   8.2735e-07
     -2.7475   8.4578e-07
     -2.8283   8.6479e-07
     -2.9091   8.8395e-07
     -2.9899    9.034e-07
     -3.0707   9.2298e-07
     -3.1515   9.4271e-07
     -3.2323   9.6267e-07
     -3.3131   9.8343e-07
     -3.3939   1.0168e-06
     -3.4747   1.0512e-06
     -3.5556   1.0807e-06
     -3.6364   1.0946e-06
     -3.7172   1.0519e-06
      -3.798    1.071e-06
     -3.8788   1.1102e-06
     -3.9596   1.1398e-06
     -3.9596   1.1597e-06
     -3.8788   1.1188e-06
      -3.798   1.0753e-06
     -3.7172   1.0735e-06
     -3.6364   1.0662e-06
     -3.5556   1.0375e-06
     -3.4747   1.0084e-06
     -3.3939   9.6605e-07
     -3.3131   9.2467e-07
     -3.2323   8.8427e-07
     -3.1515   8.4489e-07
     -3.0707   8.0646e-07
     -2.9899   7.6898e-07
     -2.9091   7.3244e-07
     -2.8283   6.9684e-07
     -2.7475   6.6219e-07
     -2.6667   6.2852e-07
     -2.5859   5.9581e-07
     -2.5051   5.6407e-07
     -2.4242    5.333e-07
     -2.3434   5.0352e-07
     -2.2626   4.7473e-07
     -2.1818   4.4694e-07
      -2.101   4.2014e-07
     -2.0202   3.9434e-07
     -1.9394   3.6954e-07
     -1.8586   3.4576e-07
     -1.7778   3.2298e-07
      -1.697   3.0122e-07
     -1.6162   2.8048e-07
     -1.5354   2.6075e-07
     -1.4545   2.4204e-07
     -1.3737   2.2435e-07
     -1.2929    2.077e-07
     -1.2121   1.9207e-07
     -1.1313   1.7747e-07
     -1.0505    1.639e-07
     -0.9697   1.5136e-07
    -0.88889   1.3986e-07
    -0.80808    1.294e-07
    -0.72727   1.1997e-07
